Country,Year,preg_rate
Scotland,1992,43.1995217721907
Scotland,1993,41.2785292018792
Scotland,1994,41.5
Scotland,1995,40.7
Scotland,1996,44.7
Scotland,1997,43.8
Scotland,1998,44.7
Scotland,1999,43
Scotland,2000,40.5
Scotland,2001,39.2
Scotland,2002,39.7
Scotland,2003,40.2
Scotland,2004,41.1
Scotland,2005,41.6
Scotland,2006,41.2
Scotland,2007,41.9
Scotland,2008,40
Scotland,2009,36.2
Scotland,2010,35.2
Scotland,2011,30
Scotland,2012,28
Scotland,2013,24.6
Scotland,2014,22.1
Scotland,2015,20.1
Scotland,2016,18.87
